2019-03-30 18:31:51.750 [main] INFO  work.icql.springboot.SpringbootApplication - Starting SpringbootApplication v1.0.0 on ICQL with PID 7944 (D:\Workspace\Git\icql-sample\springboot-mybaits\target\springboot-mybaits-1.0.0.jar started by icql in D:\Workspace\Git\icql-sample\springboot-mybaits\target)
2019-03-30 18:31:53.743 [main] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_121\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\iCLS\;C:\Program Files\Intel\Intel(R) Management Engine Components\iCLS\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Java\jdk1.8.0_121\bin;C:\App\Git\bin;C:\App\TortoiseGit\bin;C:\App\Nodejs\;C:\App\IntelliJ IDEA\plugins\maven\lib\maven3\bin;C:\Program Files\Microsoft SQL Server\130\Tools\Binn\;C:\Program Files\dotnet\;C:\Users\icql\AppData\Local\Microsoft\WindowsApps;C:\Users\icql\AppData\Roaming\npm;.]
2019-03-30 18:31:53.834 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-03-30 18:31:53.834 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2036 ms
2019-03-30 18:31:53.914 [main] INFO  o.s.boot.web.servlet.RegistrationBean - Servlet statViewServlet was not registered (possibly already registered?)
2019-03-30 18:31:55.281 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
2019-03-30 18:31:55.467 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-03-30 18:31:55.928 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2019-03-30 18:31:55.952 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2019-03-30 18:31:56.012 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2019-03-30 18:31:56.136 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: deleteUserUsingDELETE_1
2019-03-30 18:31:56.152 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: insertUserUsingPOST_1
2019-03-30 18:31:56.167 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: updateUserUsingPUT_1
2019-03-30 18:31:56.189 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2019-03-30 18:31:56.202 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2019-03-30 18:31:56.219 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2019-03-30 18:31:56.223 [main] INFO  work.icql.springboot.SpringbootApplication - Started SpringbootApplication in 4.983 seconds (JVM running for 5.389)
2019-03-30 18:32:07.064 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-03-30 18:32:07.065 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-03-30 18:32:07.077 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 12 ms
2019-03-30 18:32:41.749 [http-nio-8080-exec-8] INFO  w.i.s.config.DataSourceConfig$DynamicDataSource - 数据源：db1
2019-03-30 18:32:44.749 [http-nio-8080-exec-8] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-03-30 18:32:44.853 [http-nio-8080-exec-8] INFO  w.i.s.common.interceptor.MyBatisSqlCostInterceptor - SQL：执行耗时65ms [select id, usercode, username, password, age, memo, deleted from t_user]
2019-03-30 18:33:18.362 [http-nio-8080-exec-10] INFO  w.i.s.config.DataSourceConfig$DynamicDataSource - 数据源：db1
2019-03-30 18:33:18.510 [http-nio-8080-exec-10] INFO  w.i.s.common.interceptor.MyBatisSqlCostInterceptor - SQL：执行耗时90ms [insert into t_user (id, usercode, username, password, age, memo, deleted) values (?, ?, ?, ?, ?, ?, ?)]
2019-03-30 18:33:30.591 [http-nio-8080-exec-1] INFO  w.i.s.config.DataSourceConfig$DynamicDataSource - 数据源：db1
2019-03-30 18:33:30.638 [http-nio-8080-exec-1] INFO  w.i.s.common.interceptor.MyBatisSqlCostInterceptor - SQL：执行耗时47ms [select id, usercode, username, password, age, memo, deleted from t_user]
